Vulnerability id,Component name,Component version,Component origin,Security risk,Base score,CWE,Remediation status,Description
CVE-2024-6387,openssh-server,9.2p1,alpine,HIGH,8.1,CWE-400,DUPLICATE,regreSSHion: signal-handler race condition in OpenSSH sshd allows unauthenticated remote code execution as root on glibc-based Linux.
CVE-2023-38408,openssh-client,8.9p1,maven,CRITICAL,9.8,CWE-400,IGNORED,Remote code execution in ssh-agent PKCS#11 forwarding via a crafted agent-forwarding request.
CVE-2023-51385,openssh-server,8.4p1,github,MEDIUM,6.5,CWE-125,REMEDIATION_REQUIRED,OS command injection via ProxyCommand when an untrusted user/hostname contains shell metacharacters.
CVE-2022-3602,openssl,3.0.5,debian,HIGH,7.5,CWE-20,REMEDIATION_REQUIRED,X.509 email address 4-byte stack buffer overflow during punycode decoding of a crafted certificate.
CVE-2022-3786,openssl,3.0.6,maven,HIGH,7.5,CWE-94,DUPLICATE,"X.509 email address variable-length buffer overflow in punycode decoding, causing denial of service."
CVE-2023-0286,openssl,1.1.1n,pypi,HIGH,7.4,CWE-502,DUPLICATE,X.400 address type confusion in X.509 GeneralName allows reading/writing arbitrary memory.
CVE-2014-0160,openssl,1.0.1f,maven,HIGH,7.5,CWE-787,PATCHED,Heartbleed: TLS heartbeat over-read discloses up to 64KB of process memory including private keys.
CVE-2016-2107,openssl,1.0.2,github,MEDIUM,5.9,CWE-94,NEW,Padding-oracle in AES-NI CBC MAC check allows a MITM to decrypt TLS traffic (Lucky-13 variant).
CVE-2014-6271,bash,4.3,alpine,CRITICAL,9.8,CWE-20,DUPLICATE,"Shellshock: bash evaluates trailing code in exported function definitions, enabling remote code execution via env vars."
CVE-2014-7169,bash,4.3,maven,HIGH,8.1,CWE-94,PATCHED,Incomplete Shellshock fix still allows crafted environment variables to write files / execute code.
CVE-2019-18276,bash,5.0,github,HIGH,7.8,CWE-502,REMEDIATION_REQUIRED,Local privilege drop bypass: setuid bash can regain dropped privileges via enable -f loadable builtins.
CVE-2023-4911,glibc,2.35,github,HIGH,7.8,CWE-787,REMEDIATION_REQUIRED,Looney Tunables: buffer overflow in the glibc dynamic loader GLIBC_TUNABLES handling enables local root.
CVE-2024-2961,glibc,2.35,alpine,MEDIUM,5.9,CWE-787,PATCHED,Out-of-bounds write in the glibc ISO-2022-CN-EXT iconv conversion module.
CVE-2015-7547,glibc,2.19,pypi,CRITICAL,8.1,CWE-125,REMEDIATION_REQUIRED,Stack-based buffer overflow in getaddrinfo() dual A/AAAA lookups allows remote code execution.
CVE-2024-38428,wget,1.21.3,github,CRITICAL,9.1,CWE-20,IGNORED,URL parsing confusion in wget lets an attacker redirect downloads to an attacker-controlled host.
CVE-2023-38545,curl,8.3.0,debian,HIGH,8.8,CWE-400,REMEDIATION_REQUIRED,SOCKS5 heap buffer overflow in curl when a hostname longer than 255 bytes is passed to a slow proxy.
CVE-2023-27533,curl,7.88.0,pypi,MEDIUM,6.5,CWE-400,NEW,TELNET option IAC injection in curl allows sending unintended data to the server.
CVE-2024-2004,libcurl,8.5.0,github,MEDIUM,5.3,CWE-400,IGNORED,Usage of disabled protocol: curl may still use a protocol the app tried to disable via CURLOPT_PROTOCOLS.
CVE-2025-61732,libxml2,2.9.14,alpine,HIGH,8.6,CWE-502,NEW,Heap buffer overflow in libxml2 XML parser allows remote code execution via a crafted document.
