CVE,Severity,CVSS,Package,Installed Version,Status,Description
CVE-2024-6387,high,8.1,openssh-server,9.2p1,new,regreSSHion: signal-handler race condition in OpenSSH sshd allows unauthenticated remote code execution as root on glibc-based Linux.
CVE-2023-38408,critical,9.8,openssh-client,8.9p1,fixed,Remote code execution in ssh-agent PKCS#11 forwarding via a crafted agent-forwarding request.
CVE-2023-51385,medium,6.5,openssh-server,8.4p1,new,OS command injection via ProxyCommand when an untrusted user/hostname contains shell metacharacters.
CVE-2022-3602,high,7.5,openssl,3.0.5,new,X.509 email address 4-byte stack buffer overflow during punycode decoding of a crafted certificate.
CVE-2022-3786,high,7.5,openssl,3.0.6,new,"X.509 email address variable-length buffer overflow in punycode decoding, causing denial of service."
CVE-2023-0286,high,7.4,openssl,1.1.1n,new,X.400 address type confusion in X.509 GeneralName allows reading/writing arbitrary memory.
CVE-2014-0160,high,7.5,openssl,1.0.1f,new,Heartbleed: TLS heartbeat over-read discloses up to 64KB of process memory including private keys.
CVE-2016-2107,medium,5.9,openssl,1.0.2,new,Padding-oracle in AES-NI CBC MAC check allows a MITM to decrypt TLS traffic (Lucky-13 variant).
CVE-2014-6271,critical,9.8,bash,4.3,new,"Shellshock: bash evaluates trailing code in exported function definitions, enabling remote code execution via env vars."
CVE-2014-7169,high,8.1,bash,4.3,fixed,Incomplete Shellshock fix still allows crafted environment variables to write files / execute code.
CVE-2019-18276,high,7.8,bash,5.0,fixed,Local privilege drop bypass: setuid bash can regain dropped privileges via enable -f loadable builtins.
CVE-2023-4911,high,7.8,glibc,2.35,new,Looney Tunables: buffer overflow in the glibc dynamic loader GLIBC_TUNABLES handling enables local root.
CVE-2024-2961,medium,5.9,glibc,2.35,fixed,Out-of-bounds write in the glibc ISO-2022-CN-EXT iconv conversion module.
CVE-2015-7547,critical,8.1,glibc,2.19,new,Stack-based buffer overflow in getaddrinfo() dual A/AAAA lookups allows remote code execution.
CVE-2024-38428,critical,9.1,wget,1.21.3,new,URL parsing confusion in wget lets an attacker redirect downloads to an attacker-controlled host.
CVE-2023-38545,high,8.8,curl,8.3.0,fixed,SOCKS5 heap buffer overflow in curl when a hostname longer than 255 bytes is passed to a slow proxy.
CVE-2023-27533,medium,6.5,curl,7.88.0,fixed,TELNET option IAC injection in curl allows sending unintended data to the server.
CVE-2024-2004,medium,5.3,libcurl,8.5.0,new,Usage of disabled protocol: curl may still use a protocol the app tried to disable via CURLOPT_PROTOCOLS.
CVE-2025-61732,high,8.6,libxml2,2.9.14,fixed,Heap buffer overflow in libxml2 XML parser allows remote code execution via a crafted document.
CVE-2022-40303,high,7.5,libxml2,2.9.10,fixed,Integer overflow in libxml2 with XML_PARSE_HUGE leads to out-of-bounds writes.
CVE-2022-25235,critical,8.8,expat,2.4.1,new,Malformed UTF-8 in libexpat allows out-of-bounds writes and possible remote code execution.
